Fin Ocupacion 22;2442,2937;;;2912,8417;;;2708,7426;;;2680,3698;;;;;Limpiando;0;272,6999999999935;2714,9936999999936;292,7403;153,6873;164,0581;5;1;3;9;0;Finalizo;2326,0397;Basket;;;;;;;;;;;;;;;;4;Basket
Llegada Handball 23;2680,3698;;;2912,8417;;;2708,7426;0,2476;659,4295;3339,7992;;;;;Limpiando;1;;2714,9936999999936;292,7403;153,6873;164,0581;5;1;3;10;0;En Espera;2680,3698;Handball;;;;;;;;;;;;;;;;4;
Llegada Futbol 24;2708,7426;;;2912,8417;0,0976;61,6226;2770,3653;;;3339,7992;;;;;Limpiando;2;;2714,9936999999936;292,7403;153,6873;164,0581;5;1;3;11;0;En Espera;2680,3698;Handball;En Espera;2708,7426;Futbol;;;;;;;;;;;;;4;
Fin de Limpieza 25;2714,9936;;;2912,8417;;;2770,3653;;;3339,7992;Handball;0,8978;122,846;2837,8396;Ocupada;1;;;292,7403;153,6873;198,6819;5;1;4;11;0;Jugando;2680,3698;Handball;En Espera;2708,7426;Futbol;;;;;;;;;;;;;5;
Llegada Futbol 26;2770,3653;;;2912,8417;0,2703;189,0933;2959,4586;;;3339,7992;;;;2837,8396;Ocupada;2;;;292,7403;153,6873;198,6819;5;1;4;12;0;Jugando;2680,3698;Handball;En Espera;2708,7426;Futbol;En Espera;2770,3653;Futbol;;;;;;;;;;5;
Fin Ocupacion 27;2837,8395;;;2912,8417;;;2959,4586;;;3339,7992;Futbol;0,1485;82,97;2920,8095;Ocupada;1;;;292,7403;282,7842;198,6819;5;2;4;12;0;Finalizo;2680,3698;Handball;Jugando;2708,7426;Futbol;En Espera;2770,3653;Futbol;;;;;;;;;;5;
Llegada Basket 28;2912,8417;0,8958;575,0055;3487,8472;;;2959,4586;;;3339,7992;;;;2920,8095;Ocupada;2;;;292,7403;282,7842;198,6819;5;2;4;13;0;En Espera;2912,8417;Basket;Jugando;2708,7426;Futbol;En Espera;2770,3653;Futbol;;;;;;;;;;5;
Fin Ocupacion 29;2920,8095;;;3487,8472;;;2959,4586;;;3339,7992;Futbol;0,9233;98,466;3019,2754;Ocupada;1;;;292,7403;433,2283;198,6819;5;3;4;13;0;En Espera;2912,8417;Basket;Finalizo;2708,7426;Futbol;Jugando;2770,3653;Futbol;;;;;;;;;;5;
Llegada Futbol 30;2959,4586;;;3487,8472;0,7403;809,1467;3768,6053;;;3339,7992;;;;3019,2754;Ocupada;2;;;292,7403;433,2283;198,6819;5;3;4;14;0;En Espera;2912,8417;Basket;En Espera;2959,4586;Futbol;Jugando;2770,3653;Futbol;;;;;;;;;;5;
Fin Ocupacion 31;3019,2754;;;3487,8472;;;3768,6053;;;3339,7992;Basket;0,4447;96,682;3115,9573;Ocupada;1;;;399,174;433,2283;198,6819;6;3;4;14;0;Jugando;2912,8417;Basket;En Espera;2959,4586;Futbol;Finalizo;2770,3653;Futbol;;;;;;;;;;5;
Fin Ocupacion 32;3115,9573;;;3487,8472;;;3768,6053;;;3339,7992;Futbol;0,9697;99,394;3215,3513;Ocupada;0;;;399,174;589,727;198,6819;6;4;4;14;0;Finalizo;2912,8417;Basket;Jugando;2959,4586;Futbol;;;;;;;;;;;;;5;
Fin Ocupacion 33;3215,3512;;;3487,8472;;;3768,6053;;;3339,7992;;;;;Limpiando;0;90,79999999999912;3306,151299999999;399,174;589,727;198,6819;6;4;4;14;0;;;;Finalizo;2959,4586;Futbol;;;;;;;;;;;;;5;Futbol
Fin de Limpieza 34;3306,1512;;;3487,8472;;;3768,6053;;;3339,7992;;;;;Libre;0;;;399,174;589,727;198,6819;6;4;4;14;0;;;;;;;;;;;;;;;;;;;6;
Llegada Handball 35;3339,7992;;;3487,8472;;;3768,6053;0,502;720,4845;4060,2838;Handball;0,491;94,37;3434,1692;Ocupada;0;;;399,174;589,727;198,6819;6;4;5;15;0;Jugando;3339,7992;Handball;;;;;;;;;;;;;;;;6;
Fin Ocupacion 36;3434,1692;;;3487,8472;;;3768,6053;;;4060,2838;;;;;Limpiando;0;181,59999999999397;3615,769199999994;399,174;589,727;198,6819;6;4;5;15;0;Finalizo;3339,7992;Handball;;;;;;;;;;;;;;;;6;Handball
Llegada Basket 37;3487,8472;0,4973;479,3643;3967,2115;;;3768,6053;;;4060,2838;;;;;Limpiando;1;;3615,769199999994;399,174;589,727;198,6819;6;4;5;16;0;En Espera;3487,8472;Basket;;;;;;;;;;;;;;;;6;
Fin de Limpieza 38;3615,7691;;;3967,2115;;;3768,6053;;;4060,2838;Basket;0,126;77,56;3693,3291;Ocupada;0;;;527,0959;589,727;198,6819;7;4;5;16;0;Jugando;3487,8472;Basket;;;;;;;;;;;;;;;;7;
Fin Ocupacion 39;3693,3291;;;3967,2115;;;3768,6053;;;4060,2838;;;;;Limpiando;0;272,49999999999346;3965,8290999999936;527,0959;589,727;198,6819;7;4;5;16;0;Finalizo;3487,8472;Basket;;;;;;;;;;;;;;;;7;Basket
Llegada Futbol 40;3768,6053;;;3967,2115;0,2384;163,4151;3932,0204;;;4060,2838;;;;;Limpiando;1;;3965,8290999999936;527,0959;589,727;198,6819;7;4;5;17;0;En Espera;3768,6053;Futbol;;;;;;;;;;;;;;;;7;
Llegada Futbol 41;3932,0204;;;3967,2115;0,7229;770,0898;4702,1102;;;4060,2838;;;;;Limpiando;2;;3965,8290999999936;527,0959;589,727;198,6819;7;4;5;18;0;En Espera;3768,6053;Futbol;En Espera;3932,0204;Futbol;;;;;;;;;;;;;7;
Fin de Limpieza 42;3965,829;;;3967,2115;;;4702,1102;;;4060,2838;Futbol;0,6514;93,0279;4058,8569;Ocupada;1;;;527,0959;786,9507;198,6819;7;5;5;18;0;Jugando;3768,6053;Futbol;En Espera;3932,0204;Futbol;;;;;;;;;;;;;8;
Llegada Basket 43;3967,2115;0,7726;545,4357;4512,6472;;;4702,1102;;;4060,2838;;;;4058,8569;Ocupada;2;;;527,0959;786,9507;198,6819;7;5;5;19;0;Jugando;3768,6053;Futbol;En Espera;3932,0204;Futbol;En Espera;3967,2115;Basket;;;;;;;;;;8;
Fin Ocupacion 44;4058,8569;;;4512,6472;;;4702,1102;;;4060,2838;Futbol;0,0884;81,768;4140,6249;Ocupada;1;;;527,0959;913,7872;198,6819;7;6;5;19;0;Finalizo;3768,6053;Futbol;Jugando;3932,0204;Futbol;En Espera;3967,2115;Basket;;;;;;;;;;8;
Llegada Handball 45;4060,2838;;;4512,6472;;;4702,1102;0,903;816,7399;4877,0237;;;;4140,6249;Ocupada;2;;;527,0959;913,7872;198,6819;7;6;5;20;0;En Espera;4060,2838;Handball;Jugando;3932,0204;Futbol;En Espera;3967,2115;Basket;;;;;;;;;;8;
Fin Ocupacion 46;4140,6249;;;4512,6472;;;4702,1102;;;4877,0237;Handball;0,5817;100,7189;4241,3438;Ocupada;1;;;527,0959;913,7872;279,0229;7;6;6;20;0;Jugando;4060,2838;Handball;Finalizo;3932,0204;Futbol;En Espera;3967,2115;Basket;;;;;;;;;;8;
Fin Ocupacion 47;4241,3438;;;4512,6472;;;4702,1102;;;4877,0237;Basket;0,2802;86,812;4328,1557;Ocupada;0;;;801,2281;913,7872;279,0229;8;6;6;20;0;Finalizo;4060,2838;Handball;;;;Jugando;3967,2115;Basket;;;;;;;;;;8;
Fin Ocupacion 48;4328,1557;;;4512,6472;;;4702,1102;;;4877,0237;;;;;Limpiando;0;272,39999999999344;4600,5556999999935;801,2281;913,7872;279,0229;8;6;6;20;0;;;;;;;Finalizo;3967,2115;Basket;;;;;;;;;;8;Basket
Llegada Basket 49;4512,6472;0,1957;406,9887;4919,6359;;;4702,1102;;;4877,0237;;;;;Limpiando;1;;4600,5556999999935;801,2281;913,7872;279,0229;8;6;6;21;0;En Espera;4512,6472;Basket;;;;;;;;;;;;;;;;8;
Fin de Limpieza 50;4600,5556;;;4919,6359;;;4702,1102;;;4877,0237;Basket;0,2286;83,7159;4684,2715;Ocupada;0;;;889,1365;913,7872;279,0229;9;6;6;21;0;Jugando;4512,6472;Basket;;;;;;;;;;;;;;;;9;
Fin Ocupacion 51;4684,2715;;;4919,6359;;;4702,1102;;;4877,0237;;;;;Limpiando;0;272,39999999999344;4956,671499999993;889,1365;913,7872;279,0229;9;6;6;21;0;Finalizo;4512,6472;Basket;;;;;;;;;;;;;;;;9;Basket
Llegada Futbol 52;4702,1102;;;4919,6359;0,3555;263,6358;4965,746;;;4877,0237;;;;;Limpiando;1;;4956,671499999993;889,1365;913,7872;279,0229;9;6;6;22;0;En Espera;4702,1102;Futbol;;;;;;;;;;;;;;;;9;
Llegada Handball 53;4877,0237;;;4919,6359;;;4965,746;0,958;829,9217;5706,9453;;;;;Limpiando;2;;4956,671499999993;889,1365;913,7872;279,0229;9;6;6;23;0;En Espera;4702,1102;Futbol;En Espera;4877,0237;Handball;;;;;;;;;;;;;9;
Llegada Basket 54;4919,6359;0,9714;593,1385;5512,7744;;;4965,746;;;5706,9453;;;;;Limpiando;3;;4956,671499999993;889,1365;913,7872;279,0229;9;6;6;24;0;En Espera;4702,1102;Futbol;En Espera;4877,0237;Handball;En Espera;4919,6359;Basket;;;;;;;;;;9;
Fin de Limpieza 55;4956,6714;;;5512,7744;;;4965,746;;;5706,9453;Futbol;0,4114;88,228;5044,8994;Ocupada;2;;;889,1365;1168,3484;279,0229;9;7;6;24;0;Jugando;4702,1102;Futbol;En Espera;4877,0237;Handball;En Espera;4919,6359;Basket;;;;;;;;;;10;
Llegada Futbol 56;4965,746;;;5512,7744;0,2094;140,9944;5106,7404;;;5706,9453;;;;5044,8994;Ocupada;3;;;889,1365;1168,3484;279,0229;9;7;6;25;0;Jugando;4702,1102;Futbol;En Espera;4877,0237;Handball;En Espera;4919,6359;Basket;En Espera;4965,746;Futbol;;;;;;;10;
Fin Ocupacion 57;5044,8994;;;5512,7744;;;5106,7404;;;5706,9453;Handball;0,949;126,43;5171,3294;Ocupada;2;;;889,1365;1168,3484;446,8986;9;7;7;25;0;Finalizo;4702,1102;Futbol;Jugando;4877,0237;Handball;En Espera;4919,6359;Basket;En Espera;4965,746;Futbol;;;;;;;10;
Llegada Futbol 58;5106,7404;;;5512,7744;0,0029;1,7855;5108,5259;;;5706,9453;;;;5171,3294;Ocupada;3;;;889,1365;1168,3484;446,8986;9;7;7;26;0;En Espera;5106,7404;Futbol;Jugando;4877,0237;Handball;En Espera;4919,6359;Basket;En Espera;4965,746;Futbol;;;;;;;10;
