ti              Di              dD/dt           ti+1            Di+1           
0,0000          0,0000          4,8000          0,1000          ,4800          
0,1000          0,4800          4,9000          0,2000          ,5900          
0,2000          0,5900          5,0000          0,3000          ,7000          
0,3000          0,7000          5,1000          0,4000          ,8100          
0,4000          0,8100          5,2000          0,5000          ,9200          
0,5000          0,9200          5,3000          0,6000          1,0300         
0,6000          1,0300          5,4000          0,7000          1,1400         
0,7000          1,1400          5,5000          0,8000          1,2500         
0,8000          1,2500          5,6000          0,9000          1,3600         
0,9000          1,3600          5,7000          1,0000          1,4700         
1,0000          1,4700          5,8000          1,1000          1,5800         
1,1000          1,5800          5,9000          1,2000          1,6900         
1,2000          1,6900          6,0000          1,3000          1,8000         
1,3000          1,8000          6,1000          1,4000          1,9100         
1,4000          1,9100          6,2000          1,5000          2,0200         
1,5000          2,0200          6,3000          1,6000          2,1300         
1,6000          2,1300          6,4000          1,7000          2,2400         
1,7000          2,2400          6,5000          1,8000          2,3500         
1,8000          2,3500          6,6000          1,9000          2,4600         
1,9000          2,4600          6,7000          2,0000          2,5700         
2,0000          2,5700          6,8000          2,1000          2,6800         
2,1000          2,6800          6,9000          2,2000          2,7900         
2,2000          2,7900          7,0000          2,3000          2,9000         
2,3000          2,9000          7,1000          2,4000          3,0100         
2,4000          3,0100          7,2000          2,5000          3,1200         
2,5000          3,1200          7,3000          2,6000          3,2300         
2,6000          3,2300          7,4000          2,7000          3,3400         
2,7000          3,3400          7,5000          2,8000          3,4500         
2,8000          3,4500          7,6000          2,9000          3,5600         
2,9000          3,5600          7,7000          3,0000          3,6700         
3,0000          3,6700          7,8000          3,1000          3,7800         
3,1000          3,7800          7,9000          3,2000          3,8900         
3,2000          3,8900          8,0000          3,3000          4,0000         
3,3000          4,0000          8,1000          3,4000          4,1100         
3,4000          4,1100          8,2000          3,5000          4,2200         
3,5000          4,2200          8,3000          3,6000          4,3300         
3,6000          4,3300          8,4000          3,7000          4,4400         
3,7000          4,4400          8,5000          3,8000          4,5500         
3,8000          4,5500          8,6000          3,9000          4,6600         
3,9000          4,6600          8,7000          4,0000          4,7700         
4,0000          4,7700          8,8000          4,1000          4,8800         
4,1000          4,8800          8,9000          4,2000          4,9900         
4,2000          4,9900          9,0000          4,3000          5,1000         
4,3000          5,1000          9,1000          4,4000          5,2100         
4,4000          5,2100          9,2000          4,5000          5,3200         
4,5000          5,3200          9,3000          4,6000          5,4300         
4,6000          5,4300          9,4000          4,7000          5,5400         
4,7000          5,5400          9,5000          4,8000          5,6500         
4,8000          5,6500          9,6000          4,9000          5,7600         
4,9000          5,7600          9,7000          5,0000          5,8700         
5,0000          5,8700          9,8000          5,1000          5,9800         
5,1000          5,9800          9,9000          5,2000          6,0900         
5,2000          6,0900          10,0000         5,3000          6,2000         
5,3000          6,2000          10,1000         5,4000          6,3100         
5,4000          6,3100          10,2000         5,5000          6,4200         
5,5000          6,4200          10,3000         5,6000          6,5300         
5,6000          6,5300          10,4000         5,7000          6,6400         
5,7000          6,6400          10,5000         5,8000          6,7500         
5,8000          6,7500          10,6000         5,9000          6,8600         
5,9000          6,8600          10,7000         6,0000          6,9700         
6,0000          6,9700          10,8000         6,1000          7,0800         
6,1000          7,0800          10,9000         6,2000          7,1900         
6,2000          7,1900          11,0000         6,3000          7,3000         
6,3000          7,3000          11,1000         6,4000          7,4100         
6,4000          7,4100          11,2000         6,5000          7,5200         
6,5000          7,5200          11,3000         6,6000          7,6300         
6,6000          7,6300          11,4000         6,7000          7,7400         
6,7000          7,7400          11,5000         6,8000          7,8500         
6,8000          7,8500          11,6000         6,9000          7,9600         
