ti              Di              dD/dt           ti+1            Di+1           
0,0000          0,0000          10,2000         0,1000          1,0200         
0,1000          1,0200          10,3000         0,2000          1,1300         
0,2000          1,1300          10,4000         0,3000          1,2400         
0,3000          1,2400          10,5000         0,4000          1,3500         
0,4000          1,3500          10,6000         0,5000          1,4600         
0,5000          1,4600          10,7000         0,6000          1,5700         
0,6000          1,5700          10,8000         0,7000          1,6800         
0,7000          1,6800          10,9000         0,8000          1,7900         
0,8000          1,7900          11,0000         0,9000          1,9000         
0,9000          1,9000          11,1000         1,0000          2,0100         
1,0000          2,0100          11,2000         1,1000          2,1200         
1,1000          2,1200          11,3000         1,2000          2,2300         
1,2000          2,2300          11,4000         1,3000          2,3400         
1,3000          2,3400          11,5000         1,4000          2,4500         
1,4000          2,4500          11,6000         1,5000          2,5600         
1,5000          2,5600          11,7000         1,6000          2,6700         
1,6000          2,6700          11,8000         1,7000          2,7800         
1,7000          2,7800          11,9000         1,8000          2,8900         
1,8000          2,8900          12,0000         1,9000          3,0000         
1,9000          3,0000          12,1000         2,0000          3,1100         
2,0000          3,1100          12,2000         2,1000          3,2200         
2,1000          3,2200          12,3000         2,2000          3,3300         
2,2000          3,3300          12,4000         2,3000          3,4400         
2,3000          3,4400          12,5000         2,4000          3,5500         
2,4000          3,5500          12,6000         2,5000          3,6600         
2,5000          3,6600          12,7000         2,6000          3,7700         
2,6000          3,7700          12,8000         2,7000          3,8800         
2,7000          3,8800          12,9000         2,8000          3,9900         
2,8000          3,9900          13,0000         2,9000          4,1000         
2,9000          4,1000          13,1000         3,0000          4,2100         
3,0000          4,2100          13,2000         3,1000          4,3200         
3,1000          4,3200          13,3000         3,2000          4,4300         
3,2000          4,4300          13,4000         3,3000          4,5400         
3,3000          4,5400          13,5000         3,4000          4,6500         
3,4000          4,6500          13,6000         3,5000          4,7600         
3,5000          4,7600          13,7000         3,6000          4,8700         
3,6000          4,8700          13,8000         3,7000          4,9800         
3,7000          4,9800          13,9000         3,8000          5,0900         
3,8000          5,0900          14,0000         3,9000          5,2000         
3,9000          5,2000          14,1000         4,0000          5,3100         
4,0000          5,3100          14,2000         4,1000          5,4200         
4,1000          5,4200          14,3000         4,2000          5,5300         
4,2000          5,5300          14,4000         4,3000          5,6400         
4,3000          5,6400          14,5000         4,4000          5,7500         
4,4000          5,7500          14,6000         4,5000          5,8600         
4,5000          5,8600          14,7000         4,6000          5,9700         
4,6000          5,9700          14,8000         4,7000          6,0800         
4,7000          6,0800          14,9000         4,8000          6,1900         
4,8000          6,1900          15,0000         4,9000          6,3000         
4,9000          6,3000          15,1000         5,0000          6,4100         
5,0000          6,4100          15,2000         5,1000          6,5200         
5,1000          6,5200          15,3000         5,2000          6,6300         
5,2000          6,6300          15,4000         5,3000          6,7400         
5,3000          6,7400          15,5000         5,4000          6,8500         
5,4000          6,8500          15,6000         5,5000          6,9600         
5,5000          6,9600          15,7000         5,6000          7,0700         
5,6000          7,0700          15,8000         5,7000          7,1800         
5,7000          7,1800          15,9000         5,8000          7,2900         
5,8000          7,2900          16,0000         5,9000          7,4000         
5,9000          7,4000          16,1000         6,0000          7,5100         
6,0000          7,5100          16,2000         6,1000          7,6200         
6,1000          7,6200          16,3000         6,2000          7,7300         
6,2000          7,7300          16,4000         6,3000          7,8400         
6,3000          7,8400          16,5000         6,4000          7,9500         
6,4000          7,9500          16,6000         6,5000          8,0600         
6,5000          8,0600          16,7000         6,6000          8,1700         
6,6000          8,1700          16,8000         6,7000          8,2800         
6,7000          8,2800          16,9000         6,8000          8,3900         
6,8000          8,3900          17,0000         6,9000          8,5000         
6,9000          8,5000          17,1000         7,0000          8,6100         
7,0000          8,6100          17,2000         7,1000          8,7200         
7,1000          8,7200          17,3000         7,2000          8,8300         
7,2000          8,8300          17,4000         7,3000          8,9400         
7,3000          8,9400          17,5000         7,4000          9,0500         
7,4000          9,0500          17,6000         7,5000          9,1600         
7,5000          9,1600          17,7000         7,6000          9,2700         
7,6000          9,2700          17,8000         7,7000          9,3800         
7,7000          9,3800          17,9000         7,8000          9,4900         
7,8000          9,4900          18,0000         7,9000          9,6000         
7,9000          9,6000          18,1000         8,0000          9,7100         
8,0000          9,7100          18,2000         8,1000          9,8200         
8,1000          9,8200          18,3000         8,2000          9,9300         
8,2000          9,9300          18,4000         8,3000          10,0400        
8,3000          10,0400         18,5000         8,4000          10,1500        
8,4000          10,1500         18,6000         8,5000          10,2600        
8,5000          10,2600         18,7000         8,6000          10,3700        
8,6000          10,3700         18,8000         8,7000          10,4800        
8,7000          10,4800         18,9000         8,8000          10,5900        
8,8000          10,5900         19,0000         8,9000          10,7000        
8,9000          10,7000         19,1000         9,0000          10,8100        
9,0000          10,8100         19,2000         9,1000          10,9200        
9,1000          10,9200         19,3000         9,2000          11,0300        
9,2000          11,0300         19,4000         9,3000          11,1400        
9,3000          11,1400         19,5000         9,4000          11,2500        
9,4000          11,2500         19,6000         9,5000          11,3600        
9,5000          11,3600         19,7000         9,6000          11,4700        
9,6000          11,4700         19,8000         9,7000          11,5800        
9,7000          11,5800         19,9000         9,8000          11,6900        
9,8000          11,6900         20,0000         9,9000          11,8000        
9,9000          11,8000         20,1000         10,0000         11,9100        
10,0000         11,9100         20,2000         10,1000         12,0200        
10,1000         12,0200         20,3000         10,2000         12,1300        
10,2000         12,1300         20,4000         10,3000         12,2400        
10,3000         12,2400         20,5000         10,4000         12,3500        
10,4000         12,3500         20,6000         10,5000         12,4600        
10,5000         12,4600         20,7000         10,6000         12,5700        
10,6000         12,5700         20,8000         10,7000         12,6800        
10,7000         12,6800         20,9000         10,8000         12,7900        
10,8000         12,7900         21,0000         10,9000         12,9000        
10,9000         12,9000         21,1000         11,0000         13,0100        
11,0000         13,0100         21,2000         11,1000         13,1200        
11,1000         13,1200         21,3000         11,2000         13,2300        
11,2000         13,2300         21,4000         11,3000         13,3400        
11,3000         13,3400         21,5000         11,4000         13,4500        
11,4000         13,4500         21,6000         11,5000         13,5600        
11,5000         13,5600         21,7000         11,6000         13,6700        
11,6000         13,6700         21,8000         11,7000         13,7800        
11,7000         13,7800         21,9000         11,8000         13,8900        
11,8000         13,8900         22,0000         11,9000         14,0000        
11,9000         14,0000         22,1000         12,0000         14,1100        
12,0000         14,1100         22,2000         12,1000         14,2200        
12,1000         14,2200         22,3000         12,2000         14,3300        
12,2000         14,3300         22,4000         12,3000         14,4400        
12,3000         14,4400         22,5000         12,4000         14,5500        
12,4000         14,5500         22,6000         12,5000         14,6600        
12,5000         14,6600         22,7000         12,6000         14,7700        
12,6000         14,7700         22,8000         12,7000         14,8800        
12,7000         14,8800         22,9000         12,8000         14,9900        
12,8000         14,9900         23,0000         12,9000         15,1000        
12,9000         15,1000         23,1000         13,0000         15,2100        
13,0000         15,2100         23,2000         13,1000         15,3200        
13,1000         15,3200         23,3000         13,2000         15,4300        
13,2000         15,4300         23,4000         13,3000         15,5400        
13,3000         15,5400         23,5000         13,4000         15,6500        
13,4000         15,6500         23,6000         13,5000         15,7600        
13,5000         15,7600         23,7000         13,6000         15,8700        
13,6000         15,8700         23,8000         13,7000         15,9800        
13,7000         15,9800         23,9000         13,8000         16,0900        
13,8000         16,0900         24,0000         13,9000         16,2000        
13,9000         16,2000         24,1000         14,0000         16,3100        
14,0000         16,3100         24,2000         14,1000         16,4200        
14,1000         16,4200         24,3000         14,2000         16,5300        
14,2000         16,5300         24,4000         14,3000         16,6400        
14,3000         16,6400         24,5000         14,4000         16,7500        
14,4000         16,7500         24,6000         14,5000         16,8600        
14,5000         16,8600         24,7000         14,6000         16,9700        
14,6000         16,9700         24,8000         14,7000         17,0800        
14,7000         17,0800         24,9000         14,8000         17,1900        
14,8000         17,1900         25,0000         14,9000         17,3000        
14,9000         17,3000         25,1000         15,0000         17,4100        
15,0000         17,4100         25,2000         15,1000         17,5200        
15,1000         17,5200         25,3000         15,2000         17,6300        
15,2000         17,6300         25,4000         15,3000         17,7400        
15,3000         17,7400         25,5000         15,4000         17,8500        
15,4000         17,8500         25,6000         15,5000         17,9600        
15,5000         17,9600         25,7000         15,6000         18,0700        
15,6000         18,0700         25,8000         15,7000         18,1800        
15,7000         18,1800         25,9000         15,8000         18,2900        
15,8000         18,2900         26,0000         15,9000         18,4000        
15,9000         18,4000         26,1000         16,0000         18,5100        
16,0000         18,5100         26,2000         16,1000         18,6200        
16,1000         18,6200         26,3000         16,2000         18,7300        
16,2000         18,7300         26,4000         16,3000         18,8400        
16,3000         18,8400         26,5000         16,4000         18,9500        
16,4000         18,9500         26,6000         16,5000         19,0600        
16,5000         19,0600         26,7000         16,6000         19,1700        
16,6000         19,1700         26,8000         16,7000         19,2800        
16,7000         19,2800         26,9000         16,8000         19,3900        
16,8000         19,3900         27,0000         16,9000         19,5000        
16,9000         19,5000         27,1000         17,0000         19,6100        
17,0000         19,6100         27,2000         17,1000         19,7200        
17,1000         19,7200         27,3000         17,2000         19,8300        
17,2000         19,8300         27,4000         17,3000         19,9400        
17,3000         19,9400         27,5000         17,4000         20,0500        
17,4000         20,0500         27,6000         17,5000         20,1600        
