ti              Di              dD/dt           ti+1            Di+1           
0,0000          0,0000          6,6000          0,1000          0,6600         
0,1000          0,6600          6,7000          0,2000          0,7700         
0,2000          0,7700          6,8000          0,3000          0,8800         
0,3000          0,8800          6,9000          0,4000          0,9900         
0,4000          0,9900          7,0000          0,5000          1,1000         
0,5000          1,1000          7,1000          0,6000          1,2100         
0,6000          1,2100          7,2000          0,7000          1,3200         
0,7000          1,3200          7,3000          0,8000          1,4300         
0,8000          1,4300          7,4000          0,9000          1,5400         
0,9000          1,5400          7,5000          1,0000          1,6500         
1,0000          1,6500          7,6000          1,1000          1,7600         
1,1000          1,7600          7,7000          1,2000          1,8700         
1,2000          1,8700          7,8000          1,3000          1,9800         
1,3000          1,9800          7,9000          1,4000          2,0900         
1,4000          2,0900          8,0000          1,5000          2,2000         
1,5000          2,2000          8,1000          1,6000          2,3100         
1,6000          2,3100          8,2000          1,7000          2,4200         
1,7000          2,4200          8,3000          1,8000          2,5300         
1,8000          2,5300          8,4000          1,9000          2,6400         
1,9000          2,6400          8,5000          2,0000          2,7500         
2,0000          2,7500          8,6000          2,1000          2,8600         
2,1000          2,8600          8,7000          2,2000          2,9700         
2,2000          2,9700          8,8000          2,3000          3,0800         
2,3000          3,0800          8,9000          2,4000          3,1900         
2,4000          3,1900          9,0000          2,5000          3,3000         
2,5000          3,3000          9,1000          2,6000          3,4100         
2,6000          3,4100          9,2000          2,7000          3,5200         
2,7000          3,5200          9,3000          2,8000          3,6300         
2,8000          3,6300          9,4000          2,9000          3,7400         
2,9000          3,7400          9,5000          3,0000          3,8500         
3,0000          3,8500          9,6000          3,1000          3,9600         
3,1000          3,9600          9,7000          3,2000          4,0700         
3,2000          4,0700          9,8000          3,3000          4,1800         
3,3000          4,1800          9,9000          3,4000          4,2900         
3,4000          4,2900          10,0000         3,5000          4,4000         
3,5000          4,4000          10,1000         3,6000          4,5100         
3,6000          4,5100          10,2000         3,7000          4,6200         
3,7000          4,6200          10,3000         3,8000          4,7300         
3,8000          4,7300          10,4000         3,9000          4,8400         
3,9000          4,8400          10,5000         4,0000          4,9500         
4,0000          4,9500          10,6000         4,1000          5,0600         
4,1000          5,0600          10,7000         4,2000          5,1700         
4,2000          5,1700          10,8000         4,3000          5,2800         
4,3000          5,2800          10,9000         4,4000          5,3900         
4,4000          5,3900          11,0000         4,5000          5,5000         
4,5000          5,5000          11,1000         4,6000          5,6100         
4,6000          5,6100          11,2000         4,7000          5,7200         
4,7000          5,7200          11,3000         4,8000          5,8300         
4,8000          5,8300          11,4000         4,9000          5,9400         
4,9000          5,9400          11,5000         5,0000          6,0500         
5,0000          6,0500          11,6000         5,1000          6,1600         
5,1000          6,1600          11,7000         5,2000          6,2700         
5,2000          6,2700          11,8000         5,3000          6,3800         
5,3000          6,3800          11,9000         5,4000          6,4900         
5,4000          6,4900          12,0000         5,5000          6,6000         
5,5000          6,6000          12,1000         5,6000          6,7100         
5,6000          6,7100          12,2000         5,7000          6,8200         
5,7000          6,8200          12,3000         5,8000          6,9300         
5,8000          6,9300          12,4000         5,9000          7,0400         
5,9000          7,0400          12,5000         6,0000          7,1500         
6,0000          7,1500          12,6000         6,1000          7,2600         
6,1000          7,2600          12,7000         6,2000          7,3700         
6,2000          7,3700          12,8000         6,3000          7,4800         
6,3000          7,4800          12,9000         6,4000          7,5900         
6,4000          7,5900          13,0000         6,5000          7,7000         
6,5000          7,7000          13,1000         6,6000          7,8100         
6,6000          7,8100          13,2000         6,7000          7,9200         
6,7000          7,9200          13,3000         6,8000          8,0300         
6,8000          8,0300          13,4000         6,9000          8,1400         
6,9000          8,1400          13,5000         7,0000          8,2500         
7,0000          8,2500          13,6000         7,1000          8,3600         
7,1000          8,3600          13,7000         7,2000          8,4700         
7,2000          8,4700          13,8000         7,3000          8,5800         
7,3000          8,5800          13,9000         7,4000          8,6900         
7,4000          8,6900          14,0000         7,5000          8,8000         
7,5000          8,8000          14,1000         7,6000          8,9100         
7,6000          8,9100          14,2000         7,7000          9,0200         
7,7000          9,0200          14,3000         7,8000          9,1300         
