80286;0,5952;False;0,6713;Dudoso;17684
80287;0,1278;True;0,4637;Dudoso;17684
80288;0,8571;False;0,8466;Dudoso;17684
80289;0,4603;False;0,6265;Dudoso;17684
80290;0,5986;False;0,2761;Definitivamente no;17684
80291;0,0768;True;0,6445;Definitivamente si;17685
80292;0,3704;True;0,7471;Definitivamente si;17686
80293;0,2621;True;0,3237;Dudoso;17686
80294;0,1262;True;0,3934;Dudoso;17686
80295;0,7643;False;0,1768;Definitivamente no;17686
80296;0,8709;False;0,4957;Definitivamente no;17686
80297;0,409;False;0,9904;Definitivamente si;17687
80298;0,7642;False;0,2178;Definitivamente no;17687
80299;0,5188;False;0,1513;Definitivamente no;17687
80300;0,4428;False;0,4829;Definitivamente no;17687
80301;0,6022;False;0,0714;Definitivamente no;17687
80302;0,7968;False;0,5647;Dudoso;17687
80303;0,259;True;0,1149;Definitivamente no;17687
80304;0,0606;True;0,5814;Dudoso;17687
80305;0,6414;False;0,297;Definitivamente no;17687
80306;0,9071;False;0,7703;Dudoso;17687
80307;0,5232;False;0,7664;Dudoso;17687
80308;0,3127;True;0,5208;Dudoso;17687
80309;0,5632;False;0,7618;Dudoso;17687
80310;0,5028;False;0,8339;Dudoso;17687
80311;0,2018;True;0,3608;Dudoso;17687
80312;0,3827;True;0,8435;Definitivamente si;17688
80313;0,3278;True;0,2283;Definitivamente no;17688
80314;0,9701;False;0,814;Dudoso;17688
80315;0,0025;True;0,6841;Definitivamente si;17689
80316;0,457;False;0,5306;Dudoso;17689
80317;0,9714;False;0,5214;Dudoso;17689
80318;0,8241;False;0,9416;Definitivamente si;17690
80319;0,0268;True;0,5647;Dudoso;17690
80320;0,0461;True;0,4732;Dudoso;17690
80321;0,1144;True;0,0359;Definitivamente no;17690
80322;0,878;False;0,2212;Definitivamente no;17690
80323;0,5732;False;0,9952;Definitivamente si;17691
80324;0,9924;False;0,9228;Definitivamente si;17692
80325;0,1801;True;0,5454;Dudoso;17692
80326;0,9243;False;0,597;Dudoso;17692
80327;0,6991;False;0,2862;Definitivamente no;17692
80328;0,4768;False;0,4011;Definitivamente no;17692
80329;0,3764;True;0,6355;Definitivamente si;17693
80330;0,911;False;0,973;Definitivamente si;17694
80331;0,9542;False;0,7063;Dudoso;17694
80332;0,097;True;0,7628;Definitivamente si;17695
80333;0,1783;True;0,5533;Dudoso;17695
80334;0,9026;False;0,5253;Dudoso;17695
80335;0,4261;False;0,5185;Dudoso;17695
80336;0,9694;False;0,3488;Definitivamente no;17695
80337;0,9683;False;0,9594;Definitivamente si;17696
80338;0,7926;False;0,9593;Definitivamente si;17697
80339;0,5642;False;0,9526;Definitivamente si;17698
80340;0,4007;False;0,293;Definitivamente no;17698
80341;0,072;True;0,9048;Definitivamente si;17699
80342;0,8151;False;0,9428;Definitivamente si;17700
80343;0,2938;True;0,0847;Definitivamente no;17700
80344;0,9574;False;0,7926;Dudoso;17700
80345;0,3968;True;0,9152;Definitivamente si;17701
80346;0,6941;False;0,8009;Dudoso;17701
80347;0,0426;True;0,5188;Dudoso;17701
80348;0,2919;True;0,5097;Dudoso;17701
80349;0,1236;True;0,7093;Definitivamente si;17702
